ID,dokumen,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,label
1,finance,0.030038733346482344,0.033584590700720646,-0.01883068684529125,-0.08264383946558777,-0.07194805764842904,0.08669036440031253,-0.09473950964677125,-0.001974829533944056,-0.039972207366375856,-0.025860583068778833,-0.040679704326630234,0.11967981292849551,-0.062443620007327685,-0.07472305818642988,-0.03183859753761833,0.020266915347937887,-0.0343550424730963,0.12983588900235465,0.14314881019152514,-0.03716603022106955,-0.03533948371977979,0.032885213245654646,0.0009731314919150123,-0.11347670832523596,0.010046650318622482,0.05458276072019487,0.016309202793547816,-0.07088729939557682,-0.02743964521752122,-0.09223537953309233,-0.042117732974884574,0.03904073569689116,-0.04137299446821995,-0.05028608863822777,0.08305535554601544,0.017639862759106877,0.01472791214295578,-0.07099420509336651,-0.04115488391400906,-4.9737092802057605e-05,-0.03590874954658886,-0.08129065137015315,-0.01813669629602044,-0.16787646581378346,-0.02251373681152093,0.02355318882242041,-0.05179556834611768,0.06523894841517391,-0.004192072837132824,-0.0048862431702485255,1
2,finance,0.08626024697983525,0.0020947675940333897,0.0006173073112247866,-0.05733798828030385,-0.005306421795599669,0.0065506779914707575,0.003803941251728336,-0.0481010027944542,0.017328853546473424,-0.05442542157484533,0.024252944963400486,-0.007514550330961749,0.039482850143585324,0.02724037314303664,-0.1026637233289161,-0.0050676142166715095,-0.031772141416733804,0.08632426143903493,0.01567838366917204,0.02362510781443698,-0.015604640543081052,-0.011770501884606967,-0.11454811087662414,0.016892147503806413,-0.047857798382368484,0.051068301719004026,-0.12470896648328424,-0.10674200104199477,0.10578348434980342,-0.02205180140255728,-0.16650252402636745,0.07292830830801607,-0.11644722732455824,-0.016358088925491773,-0.040439357941655166,-0.19661723345383345,0.06475172409110418,0.16204795516346832,-0.0837661958177202,0.0839812336057497,0.21978275227540053,0.09846048887540464,0.05320065111434774,0.10660190978939646,-0.023600608649400088,0.051904804104617015,-0.11942606465819684,0.2138608283262723,0.11671190041196869,-0.016442600963825233,1
3,finance,0.08847835700328992,-0.049067163603544815,0.026848741360300216,-0.05844703502618279,0.028399154330639883,-0.02923059018775284,0.058822597637729374,-0.003972044818553964,0.06947906791874169,-0.02973953325503916,0.039112844291507694,-0.024541588238231972,-0.010008213588144533,-0.002509124926281023,-0.0014755380401284069,-0.016204523465699023,0.04643966555210034,0.05826050319993494,-0.006874536986241196,0.0217726551742266,0.04085204087547931,-0.03911697541108572,-0.11411954145420786,0.015257076320862272,-0.03726596245149272,0.0359176260953641,-0.07698239142326835,-0.09647481538993576,0.06189622952856389,-0.058216948467201574,-0.12456916765931564,0.061624609228685956,-0.09689796308630655,-0.10338387653548653,0.0375786773702798,-0.128091308524579,0.036224663827529056,0.1317761773642526,-0.08807694046361385,-0.013704522710880901,0.23596083172894233,0.038618241911822164,0.04241778776481209,0.22959134621151886,-0.0382732002817436,0.14898532483959126,-0.10336200717912734,0.2779635182897219,0.09885429979604624,0.04964662712233691,1
4,finance,0.028570744925684594,0.0024416906321764508,-0.03249514509198156,-0.12896641415428797,-0.048914933430064915,0.03034266847187324,-0.06824137933731511,0.040308112927591636,-0.09529049287437222,0.0837496682943469,0.15224272220220086,-0.04559991278905504,0.07310898607245195,-0.018304243101036233,-0.08383189428433689,-0.004330192629350139,0.13978876106738786,0.02446205253481403,-0.055778306413797225,0.07713034784874258,0.025227723386255525,0.024841056092431858,0.02820065671849433,0.007096903910773794,0.0070358158324884314,0.02655005405314019,0.0024738621402913786,0.0030554651364269867,-0.02564540357637055,-0.12836643479625645,0.022831722807112608,0.005144259611984425,-0.2228667997478887,0.08884501486590593,0.01991096285982077,0.009773421153880222,-0.06778094897829913,-0.09782466357691501,-0.09332983990722947,0.06055868617033403,0.0822947545883371,0.06694917141607488,0.13097690371274656,0.01891407964156889,-0.09073178803585386,-0.024720475320158475,0.13032347722801862,-0.04706068403093757,-0.09515100529014321,0.03977716322649581,1
5,finance,0.05559419286574078,-0.04956080043100615,0.014885670408606463,-0.13858112136046244,-0.008507290585268359,0.030399946417994494,-0.11339151567870233,0.15470574169754492,-0.10726722090492896,0.3145216760124003,0.31770645702810946,0.05973443332869865,0.18522016157274307,0.1877889182279588,-0.07912454219461956,0.011586384514045343,0.41951229870016377,0.00674845225555904,-0.19274647534623537,-0.21099493281972487,0.20616055477877196,-0.11430023169949738,0.004479758624916275,0.014656201920927776,-0.003384375557471605,0.06788939380499273,-0.02888586222624768,0.01770299108072342,0.19351032979293448,-0.10668684034872603,0.019757220238898685,-0.007547702357109419,-0.012981701747715823,0.06797432738994418,-0.055188236743665485,0.07124286198361462,0.061738457252890774,-0.022533409811078296,0.008156188440897707,-0.042028184298365,-0.0034021131810016377,-0.019616027878448034,-0.11099221710370923,-0.05750202497602306,0.035297300677907636,0.05285854534569522,-0.09349398887808026,0.03600190024658486,0.04908957248670424,0.04036673205213734,1
6,finance,0.06474742537559855,0.11963141894973511,-0.05613217595841835,0.04875983776408272,-0.022424407491041454,-0.012534113003877677,0.004167435630881908,-0.06055964711044169,0.006156819380938702,-0.039079338762987005,0.0024688560006133216,-0.03919398594874156,0.11897783881807343,-0.042738403622379566,0.006682554645610979,-0.03769809795786482,-0.05876437758312972,0.03530216820316625,-0.005057735947835129,0.08432783208035469,0.013358960169892171,0.020737123896994062,0.19727248131538144,-0.004253253416910616,0.09288467219284575,0.14680914039081308,0.04774950003175359,0.06296876819934477,-0.05357955029498524,-0.027739456271468062,0.015503690457108501,0.1647621572748677,-0.039972463718462976,-0.07492260271627588,0.10983505098781972,0.006155765946655739,0.07258035596536405,-0.1121186328732015,-0.15422273920607868,-0.1344462965710491,0.03128202095676666,-0.06607328040079075,-0.14073160724480363,-0.10309651311763292,0.036687877183913746,0.097903067724634,-0.026988561589986464,0.10017070651400321,0.08738503800858514,0.06824456923645945,1
7,finance,0.3043281680580468,-0.08088841238204265,0.02137322068456619,0.3880651148511803,0.03696486982361538,0.2225020139564621,0.05800969767001726,0.03890634909298624,-0.08937184681708367,0.00518319262025575,0.05534991483987461,-0.03574819757278482,0.05730184496663937,0.04120848425661037,0.00520362442668832,0.0758363097368986,-0.004230171653199292,0.06606972122633635,-0.02901346207005022,-0.04983435707775663,-0.02702382558424422,-0.0516229758168863,0.045139020945791454,0.08293929405883929,-0.025759171992358443,0.1546155884300271,0.03826034386150156,-0.05366009492209556,-0.005763110668447695,-0.01883974038056176,-0.05925478576877542,0.0506155290472756,0.09980096923594713,0.037415469854105106,-0.012496397060237965,-0.04340348532470654,0.08142186342809862,-0.07903532941799285,0.003996845725650915,-0.044679146086790175,-0.20675354027927229,-0.0056787874666853885,-0.07086709905952783,0.05472244774616114,-0.11437993924927004,-0.0007764730936119987,0.012244306961022825,0.00490794236654739,0.02131051730054455,-0.05291247257550453,1
8,finance,0.14395697944645008,-0.024103350932764507,-0.010691898098755924,-0.017423017917557567,-0.030322630669032135,-0.020878374477292624,-0.002344136109619781,-0.1065102023039703,-0.1825142567257626,-0.13760997106066744,-0.12449763380685072,-0.014010704180078718,0.24175733781214362,-0.20003805568580227,-0.02460394035061331,0.34933547679681143,-0.13720750636903248,-0.10397495726795442,-0.03902289474835384,-0.17068646735987014,0.2630791897250593,0.10998150145156581,-0.039599969601847765,-0.03444118432395194,0.04867015599002076,-0.039235480788132215,0.20894156332240885,0.1402605479104287,-0.05636108086684913,-0.07828361102467071,0.22650830777322492,-0.012677598302220153,0.0831257463244891,-0.07925973262441503,0.05578980327100677,0.04697854491225781,-0.03456989789835701,-0.0954544274585192,-0.028880252136472228,0.12890325826098276,0.05549246294959301,-0.004353352175545682,-0.028350884013000427,0.01293512490859689,-0.026579581876908957,0.07925990783975993,-0.06735559660222216,0.0804171490013155,-0.018956314214242386,-0.0475733907245323,1
9,finance,0.2008619519796517,-0.1549593447723358,0.043905485480957206,0.03085320199507158,0.0015477290086706086,-0.18114444848869768,-0.06352526659504315,0.010355422511819076,0.23968805620132422,0.05369410287202384,-0.08039612052876176,0.08977437982019387,-0.20708242625964599,-0.01363111658414998,-0.03268510131741183,-0.15636529470836308,0.08269197526464712,0.02594711194444495,-0.06203945999171019,-0.12319176670876317,-0.018436673108746728,0.0969167156468026,-0.04941228190797172,0.04082419085276127,0.05109000579932851,-0.09059003672744251,-0.009842934969142007,0.05533811879139725,0.00026176634380512936,-0.11245858783961017,0.1146686509861344,-0.012030567731873103,0.030426246208231016,-0.09266429651093601,0.010051282608663665,-0.08152827096414787,-0.03586191595137672,0.06382866508963733,-0.16753979159626953,-0.0025545342554337274,-0.02358997197646515,-0.009432964413033542,0.07801138839701073,0.033500409056308515,-0.06577596433973314,-0.050456346979530164,0.0257925604500349,0.04039313768288322,-0.15963422994117857,-0.07216860009794837,1
10,finance,0.12073946398163851,-0.05347312672670162,0.008285781945645833,-0.08320009893370076,-0.018490146994760353,-0.02004235393934902,0.029770232233178158,-0.03945838042535789,-0.06497699979874623,-0.04612874697040146,0.01733849554407681,0.04152999822397936,0.08567319302504792,-0.13815150788905295,-0.036235790396359824,0.03889427354155845,-0.03100665964789312,-0.0034201633314606354,-0.027258560132492157,-0.02549237570839028,0.06275327350391523,0.02298917934168679,-0.02056415250855579,-0.057146192912611575,-0.1171610464132125,-0.1132451424122039,-0.09701299127095019,0.010457949966798021,0.11608291502754288,0.036920185181265434,-0.05214232246795763,0.1178340108909885,-0.15600266611888522,-0.19528045850358902,0.013387922850875884,-0.012347055249066357,-0.05718189501536048,-0.03731642082590554,0.28254286702812953,0.20787857409262828,-0.25903501685595026,0.16929299253051822,0.04817899555993968,-0.05572303233990587,0.11062301205227157,0.029667380092124506,-0.045295713619612585,0.13004878130385217,-0.043108822485991405,0.14741627333511562,1
